
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.551
Model:,OLS,  Adj. R-squared (uncentered):,   0.442
Method:,Least Squares,  F-statistic:       ,   5.077
Date:,"Tue, 28 May 2024",  Prob (F-statistic):,  0.00
Time:,08:22:18,  Log-Likelihood:    ,-1.3237e+05
No. Observations:,  7080,  AIC:               ,2.675e+05
Df Residuals:,  5704,  BIC:               ,2.769e+05
Df Model:,  1376,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Cliente_BRINQUEDOS BANDEIRANTE SA,-7.614e+06,  4.4e+07,   -0.173, 0.863, -9.4e+07, 7.87e+07
Cliente_BRPARTS INDUSTRIA DE PECAS LTDA,-1.548e+07, 4.61e+07,   -0.336, 0.737,-1.06e+08,  7.5e+07
"Cliente_BRUNING TECNOMETAL LTDA,", 2.798e+07, 3.16e+07,    0.887, 0.375,-3.39e+07, 8.99e+07
Cliente_BRUNO INDUSTRIAL LTDA,-2.326e+06, 3.66e+07,   -0.064, 0.949,-7.41e+07, 6.94e+07
"Cliente_BUDDEMEYER S,A,", -4.16e+06, 2.94e+07,   -0.141, 0.888,-6.19e+07, 5.36e+07
Cliente_BUTZKE IMPORTACAO E EXPORTACAO LTDA,-3.265e+06, 3.21e+07,   -0.102, 0.919,-6.62e+07, 5.97e+07
Cliente_C M R INDUSTRIA E COMERCIO LTDA,-5.304e+06, 3.62e+07,   -0.147, 0.883,-7.62e+07, 6.56e+07
Cliente_C S PESQUISAS E PARTICIPACOES INDUSTRIAIS LTDA,-3.226e+06, 3.38e+07,   -0.096, 0.924,-6.94e+07,  6.3e+07
"Cliente_C,C,S, TECNOLOGIA E SERVICOS S,A,",-3.336e+06, 3.62e+07,   -0.092, 0.927,-7.43e+07, 6.76e+07
"Cliente_C,VALE - COOPERATIVA AGROINDUSTRIAL",  -2.5e+06, 2.92e+07,   -0.086, 0.932,-5.98e+07, 5.48e+07
Cliente_C-PACK CREATIVE PACKAGING SA,-2.737e+06, 4.44e+07,   -0.062, 0.951,-8.98e+07, 8.43e+07
"Cliente_CABELTE-INDUSTRIA DO BRASIL S,A,",-5.132e+06, 3.42e+07,   -0.150, 0.881,-7.22e+07,  6.2e+07
Cliente_CABLETECH CABOS LTDA,-7.628e+06,  4.4e+07,   -0.173, 0.863, -9.4e+07, 7.87e+07
Cliente_CABOS DE MADEIRAS SOMBRIO LTDA,-3.334e+06, 4.53e+07,   -0.074, 0.941,-9.22e+07, 8.55e+07
Cliente_CACERES FLORESTAL S/A,-2.935e+07, 4.76e+07,   -0.617, 0.537,-1.23e+08, 6.39e+07
Cliente_CAEMMUN INDUSTRIA E COMERCIO DE MOVEIS LTDA,-1.242e+06, 3.13e+07,   -0.040, 0.968,-6.26e+07, 6.01e+07
Cliente_CAF MAQUINAS INDUSTRIA LTDA,-6.913e+06, 4.49e+07,   -0.154, 0.878, -9.5e+07, 8.12e+07
Cliente_CAFE BOM DIA LTDA,-1.548e+07, 3.27e+07,   -0.474, 0.636,-7.95e+07, 4.85e+07
Cliente_CAIO - INDUSCAR INDUSTRIA E COMERCIO DE CARROCERIAS LTD, 6.552e+06, 2.75e+07,    0.238, 0.812,-4.74e+07, 6.05e+07
Cliente_CAJUGRAM GRANITOS E MARMORES DO BRASIL LTDA,-2.026e+06, 4.31e+07,   -0.047, 0.963,-8.66e+07, 8.26e+07
Cliente_CALCADOS ANDREZA S/A, 7.482e+06, 3.62e+07,    0.207, 0.836,-6.35e+07, 7.85e+07
Cliente_CALCADOS BEBECE LTDA, 6.957e+06, 4.41e+07,    0.158, 0.875,-7.95e+07, 9.34e+07
Cliente_CALCADOS BIBI LTDA, 7.522e+06, 4.41e+07,    0.171, 0.865,-7.89e+07, 9.39e+07
Cliente_CALCADOS BOTTERO LTDA, 1.041e+07, 3.32e+07,    0.314, 0.754,-5.47e+07, 7.55e+07
Cliente_CALCADOS CHICARONI LTDA,-7.399e+06, 2.99e+07,   -0.248, 0.804,-6.59e+07, 5.11e+07
Cliente_CALCADOS DILLY S/A, 7.896e+06, 3.06e+07,    0.258, 0.796, -5.2e+07, 6.78e+07
Cliente_CALCADOS ELIANCE LTDA, 7.203e+06, 4.54e+07,    0.159, 0.874,-8.18e+07, 9.62e+07
Cliente_CALCADOS FERRACINI LTDA,-5.716e+06, 3.15e+07,   -0.182, 0.856,-6.75e+07,  5.6e+07
Cliente_CALCADOS FURLANETTO LTDA, 6.069e+06, 3.16e+07,    0.192, 0.848,-5.58e+07, 6.79e+07
Cliente_CALCADOS MALU LTDA, 1.473e+07, 3.32e+07,    0.444, 0.657,-5.03e+07, 7.98e+07
Cliente_CALCADOS MARTE LTDA, 9.164e+06, 4.41e+07,    0.208, 0.835,-7.72e+07, 9.56e+07
Cliente_CALCADOS MYRABEL LTDA, 6.392e+06, 3.32e+07,    0.193, 0.847,-5.87e+07, 7.14e+07
Cliente_CALCADOS NIANSO LTDA - ME, 8.364e+06,  4.5e+07,    0.186, 0.853,-7.98e+07, 9.66e+07
Cliente_CALCADOS PRICAWI LTDA - EPP, 6.783e+06,  2.9e+07,    0.234, 0.815,   -5e+07, 6.35e+07
Cliente_CALCADOS Q SONHO LTDA, 7.119e+06, 3.62e+07,    0.197, 0.844,-6.39e+07, 7.81e+07
Cliente_CALCADOS SAMELLO S/A,-3.036e+06, 3.15e+07,   -0.096, 0.923,-6.48e+07, 5.88e+07
Cliente_CALCADOS SANDALO SA,-7.236e+06, 3.62e+07,   -0.200, 0.841,-7.82e+07, 6.37e+07
Cliente_CALCADOS SANDRA LTDA, 7.557e+06, 3.15e+07,    0.240, 0.811,-5.43e+07, 6.94e+07
Cliente_CALCADOS YOUNG LTDA, 6.632e+06, 3.62e+07,    0.183, 0.855,-6.44e+07, 7.76e+07
"Cliente_CALESITA IND, DE BRINQUEDOS LTDA",-1.561e+06, 3.66e+07,   -0.043, 0.966,-7.33e+07, 7.02e+07
Cliente_CALIMAN AGRICOLA S/A-EM RECUPERACAO JUDICIAL,-2.778e+06, 4.23e+07,   -0.066, 0.948,-8.57e+07, 8.01e+07
Cliente_CAMANOR PRODUTOS MARINHOS LTDA,-6.346e+05, 4.48e+07,   -0.014, 0.989,-8.85e+07, 8.73e+07
Cliente_CAMBUCI S/A,-5.141e+06, 3.31e+07,   -0.155, 0.877,-7.01e+07, 5.98e+07
"Cliente_CAMIFRA SA - MADEIRAS, AGRICULTURA E PECUARIA",-1.923e+06,  4.7e+07,   -0.041, 0.967, -9.4e+07, 9.01e+07
Cliente_CANINDE CALCADOS LTDA, 6.103e+06, 4.14e+07,    0.147, 0.883,-7.51e+07, 8.73e+07
"Cliente_CARAMURU ALIMENTOS S,A,", 4.378e+06, 3.58e+07,    0.122, 0.903,-6.57e+07, 7.45e+07
Cliente_CARBOOX RESENDE QUIMICA INDUSTRIA COMERCIO LTDA, 7.656e+05, 4.62e+07,    0.017, 0.987,-8.97e+07, 9.12e+07
Cliente_CARGILL AGRICOLA S A, 1.852e+07, 2.79e+07,    0.664, 0.507,-3.62e+07, 7.32e+07
Cliente_CARIBOR TECNOLOGIA DA BORRACHA LTDA,-3.555e+06, 3.66e+07,   -0.097, 0.923,-7.53e+07, 6.82e+07
Cliente_CASAGRANDE REVESTIMENTOS CERAMICOS S/A,-2.654e+06,  3.1e+07,   -0.086, 0.932,-6.34e+07,  5.8e+07
Cliente_CASALE EQUIPAMENTOS LTDA,-7.448e+06, 3.31e+07,   -0.225, 0.822,-7.24e+07, 5.75e+07
Cliente_CASCAJU AGROINDUSTRIAL LTDA, 1.649e+07, 3.87e+07,    0.426, 0.670,-5.94e+07, 9.23e+07
Cliente_CASCAVEL COUROS LTDA, 7.752e+06, 3.34e+07,    0.232, 0.816,-5.77e+07, 7.32e+07
Cliente_CASP INDUSTRIA E COMERCIO LTDA,-6.714e+06, 3.62e+07,   -0.186, 0.853,-7.76e+07, 6.42e+07
Cliente_CASTELO ALIMENTOS S/A,-7.962e+06,  4.4e+07,   -0.181, 0.857,-9.43e+07, 7.84e+07
Cliente_CASTERTECH FUNDICAO E TECNOLOGIA LTDA, 9.396e+07, 3.62e+07,    2.594, 0.010,  2.3e+07, 1.65e+08
Cliente_CATERPILLAR BRASIL LTDA, 6.976e+07, 2.82e+07,    2.477, 0.013, 1.46e+07, 1.25e+08
Cliente_CATIVA TEXTIL INDUSTRIA E COMERCIO LTDA, -3.15e+06, 3.03e+07,   -0.104, 0.917,-6.26e+07, 5.63e+07
Cliente_CBC COUROS E ACABAMENTOS LTDA, 9.891e+06, 3.32e+07,    0.298, 0.766,-5.52e+07, 7.49e+07
Cliente_CBP SUL COLCHOES E ESPUMAS INDUSTRIAIS LTDA, 6.061e+06, 3.62e+07,    0.167, 0.867,-6.49e+07, 7.71e+07
Cliente_CBS S/A COMPANHIA BRASILEIRA DE SANDALIAS,-1.383e+07, 3.85e+07,   -0.360, 0.719,-8.92e+07, 6.15e+07
Cliente_CEBRACE CRISTAL PLANO LTDA, 8.969e+06, 2.78e+07,    0.322, 0.747,-4.56e+07, 6.36e+07
Cliente_CECAL INDUSTRIA E COMERCIO LTDA, 3.796e+06, 4.62e+07,    0.082, 0.934,-8.67e+07, 9.43e+07
"Cliente_CECRISA REVESTIMENTOS CERAMICOS S,A", 7.252e+06, 3.66e+07,    0.198, 0.843,-6.45e+07,  7.9e+07
Cliente_CERAMARTE LIMITADA,-3.584e+06, 3.03e+07,   -0.118, 0.906, -6.3e+07, 5.59e+07
Cliente_CERAMICA CARMELO FIOR LTDA, -7.13e+06, 3.62e+07,   -0.197, 0.844,-7.81e+07, 6.38e+07
Cliente_CERAMICA CHIARELLI SA,-7.434e+06,  4.4e+07,   -0.169, 0.866,-9.38e+07, 7.89e+07
Cliente_CERAMICA DECORITE SA, 6.073e+06, 3.16e+07,    0.192, 0.847,-5.58e+07, 6.79e+07
Cliente_CERAMICA GYOTOKU LTDA,-3.302e+06, 3.62e+07,   -0.091, 0.927,-7.42e+07, 6.76e+07
"Cliente_CERAMICA PORTO FERREIRA S,A,", -7.74e+06, 2.81e+07,   -0.275, 0.783,-6.29e+07, 4.74e+07
Cliente_CERAMICA RAMOS LTDA,-7.066e+06,  4.4e+07,   -0.160, 0.873,-9.34e+07, 7.93e+07
Cliente_CERAMICA SANTA GERTRUDES S/A,-7.492e+06, 3.62e+07,   -0.207, 0.836,-7.84e+07, 6.34e+07
Cliente_CERAMICA SANTA TEREZINHA SOCIEDADE ANONIMA,-7.193e+06, 3.05e+07,   -0.236, 0.814, -6.7e+07, 5.26e+07
Cliente_CERAMICA STEFANI SA,-7.985e+06,  4.4e+07,   -0.181, 0.856,-9.43e+07, 7.84e+07
Cliente_CHAPECO COMPANHIA INDUSTRIAL DE ALIMENTOS, 2.352e+07, 3.66e+07,    0.642, 0.521,-4.83e+07, 9.53e+07
"Cliente_CHOCOLATES GAROTO LTDA,", 3.272e+07, 5.13e+07,    0.638, 0.523,-6.78e+07, 1.33e+08
Cliente_CIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA,-1.245e+07, 3.42e+07,   -0.364, 0.716,-7.95e+07, 5.46e+07
Cliente_CIA IMPORTADORA E EXPORTADORA COIMEX,-7.185e+06, 3.12e+07,   -0.230, 0.818,-6.83e+07,  5.4e+07
Cliente_CIA INDUSTRIAL DE OLEOS DO NORDESTE CIONE, 7.278e+06, 4.84e+07,    0.150, 0.881,-8.77e+07, 1.02e+08
"Cliente_CIA, HERING", 3.222e+06, 2.77e+07,    0.116, 0.908,-5.12e+07, 5.76e+07
"Cliente_CIA, IGUACU DE CAFE SOLUVEL", 6.065e+07, 4.57e+07,    1.328, 0.184,-2.89e+07,  1.5e+08
Cliente_CIAMA EXPORT INDUSTRIAL E EXPORTADORA LTDA,-2.481e+06, 4.53e+07,   -0.055, 0.956,-9.13e+07, 8.64e+07
Cliente_CIBER EQUIPAMENTOS RODOVIARIOS LTDA,  9.23e+06, 2.68e+07,    0.344, 0.731,-4.34e+07, 6.18e+07
Cliente_CID PRODUTOS LTDA,-7.708e+06, 3.39e+07,   -0.228, 0.820,-7.41e+07, 5.87e+07
"Cliente_CIDA-CENTRAL DE IND, E DISTRIBUICAO DE ALIMENTOS LTDA", 1.048e+05, 4.48e+07,    0.002, 0.998,-8.78e+07,  8.8e+07
Cliente_CIKEL BRASIL VERDE MADEIRAS LTDA,-2.023e+07, 5.01e+07,   -0.403, 0.687,-1.19e+08, 7.81e+07
Cliente_CINA CIA NORDESTE DE AQUICULTURA E ALIMENTACAO, 4.065e+06, 3.88e+07,    0.105, 0.917, -7.2e+07, 8.02e+07
Cliente_CIPATEX IMPREGNADORA DE PAPEIS E TECIDOS LTDA,-4.139e+06, 3.05e+07,   -0.136, 0.892,-6.39e+07, 5.57e+07
Cliente_CIPATEX SINTETICOS VINILICOS LTDA,-2.553e+06, 3.15e+07,   -0.081, 0.935,-6.44e+07, 5.92e+07
Cliente_CISFRAMA COMERCIO INDUSTRIA MADEIRA SAO FRANCISCO LTDA,-3.707e+06,  3.2e+07,   -0.116, 0.908,-6.65e+07, 5.91e+07
Cliente_CITROSUCO S/A AGROINDUSTRIA, 2.786e+07,  4.4e+07,    0.633, 0.527,-5.85e+07, 1.14e+08
Cliente_CITROVITA AGRO INDUSTRIAL LTDA,  2.05e+07, 4.41e+07,    0.465, 0.642,-6.59e+07, 1.07e+08
Cliente_CJ DO BRASIL IND E COM DE PROD ALIMENTICIOS LTDA,-1.739e+06, 2.93e+07,   -0.059, 0.953,-5.92e+07, 5.57e+07
Cliente_CLAUDINA INDUSTRIA DE CALCADOS LTDA,-5.748e+06,  4.4e+07,   -0.131, 0.896,-9.21e+07, 8.06e+07
Cliente_CLO ZIRONI INDUSTRIA LTDA,-1.486e+07, 3.72e+07,   -0.400, 0.689,-8.77e+07,  5.8e+07
Cliente_CLW ALIMENTOS LTDA, 7.172e+06, 4.41e+07,    0.163, 0.871,-7.92e+07, 9.36e+07
"Cliente_CNH INDUSTRIAL BRASIL LTDA,", 2.362e+07, 2.76e+07,    0.857, 0.391,-3.04e+07, 7.76e+07
Cliente_CNH LATINO AMERICANA LTDA, 1.378e+07, 4.57e+07,    0.302, 0.763,-7.58e+07, 1.03e+08
"Cliente_CNO S,A", 7.672e+07, 3.88e+07,    1.978, 0.048, 6.94e+05, 1.53e+08
Cliente_COCAM CIA DE CAFE SOLUVEL E DERIVADOS,-7.323e+06,  4.4e+07,   -0.166, 0.868,-9.37e+07,  7.9e+07
Cliente_COFRAN INDUSTRIA DE AUTO PECAS LTDA,-6.823e+06, 4.49e+07,   -0.152, 0.879,-9.49e+07, 8.13e+07
Cliente_COIM BRASIL LTDA,-5.144e+06,  4.4e+07,   -0.117, 0.907,-9.15e+07, 8.12e+07
Cliente_COLCCI INDUSTRIA E COMERCIO DO VESTUARIO LTDA,-5.463e+06, 4.44e+07,   -0.123, 0.902,-9.25e+07, 8.16e+07
Cliente_COLORGEMS LTDA,-1.547e+07, 4.61e+07,   -0.335, 0.737,-1.06e+08,  7.5e+07
Cliente_COMERCIO DE PESCADOS VILLA IMPORTACAO E EXPORTACAO LTDA,-1.349e+07, 4.54e+07,   -0.297, 0.767,-1.03e+08, 7.56e+07
Cliente_COMEXI DO BRASIL LTDA, 9.474e+06, 3.32e+07,    0.285, 0.775,-5.56e+07, 7.45e+07
"Cliente_COMIL ONIBUS S,A, - EM RECUPERACAO JUDICIAL", 1.561e+07, 2.66e+07,    0.586, 0.558,-3.66e+07, 6.78e+07
Cliente_COMIL SILOS E SECADORES LTDA,-1.254e+06, 3.38e+07,   -0.037, 0.970,-6.75e+07, 6.49e+07
Cliente_COMING INDUSTRIA E COMERCIO DE COUROS LTDA,-6.165e+05, 4.78e+07,   -0.013, 0.990,-9.44e+07, 9.32e+07
Cliente_COMPANHIA BRASILEIRA DE ALUMINIO, 3.055e+07, 3.31e+07,    0.921, 0.357,-3.44e+07, 9.55e+07
Cliente_COMPANHIA BRASILEIRA DE METALURGIA E MINERACAO, 5.217e+07, 4.49e+07,    1.163, 0.245,-3.58e+07,  1.4e+08
Cliente_COMPANHIA BRASILEIRA DE RESINAS-RESIBRAS, 7.502e+06, 3.74e+07,    0.201, 0.841,-6.58e+07, 8.08e+07
Cliente_COMPANHIA CACIQUE DE CAFE SOLUVEL, 1.071e+07, 3.11e+07,    0.345, 0.730,-5.02e+07, 7.16e+07
Cliente_COMPANHIA DE FIACAO E TECIDOS SANTO ANTONIO,-1.508e+07, 3.72e+07,   -0.406, 0.685, -8.8e+07, 5.78e+07
Cliente_COMPANHIA DE TECIDOS NORTE DE MINAS COTEMINAS, 1.865e+07, 3.27e+07,    0.571, 0.568,-4.54e+07, 8.27e+07
Cliente_COMPANHIA FABRIL LEPPER,-4.388e+06, 3.36e+07,   -0.131, 0.896,-7.03e+07, 6.15e+07
Cliente_COMPANHIA INDUSTRIAL CATAGUASES,-1.293e+07, 2.98e+07,   -0.433, 0.665,-7.14e+07, 4.55e+07
Cliente_COMPANHIA MULLER DE BEBIDAS,-5.152e+06,  4.4e+07,   -0.117, 0.907,-9.15e+07, 8.12e+07
Cliente_COMPANHIA PROVIDENCIA INDUSTRIA E COMERCIO, 6.283e+07, 3.53e+07,    1.780, 0.075,-6.35e+06, 1.32e+08
Cliente_COMPANHIA SIDERURGICA NACIONAL, 2.931e+07, 4.62e+07,    0.635, 0.525,-6.12e+07,  1.2e+08
Cliente_COMPANHIA SUZANO DE PAPEL E CELULOSE, -2.87e+06, 3.62e+07,   -0.079, 0.937,-7.38e+07, 6.81e+07
Cliente_COMPANHIA TECIDOS SANTANENSE,-1.248e+07, 3.72e+07,   -0.336, 0.737,-8.53e+07, 6.04e+07
Cliente_COMPENSADOS ANGELA LTDA,-3.155e+07, 3.89e+07,   -0.812, 0.417,-1.08e+08, 4.46e+07
Cliente_COMPENSADOS E LAMINADOS LAVRASUL S/A,-2.415e+06, 4.57e+07,   -0.053, 0.958, -9.2e+07, 8.71e+07
Cliente_COMPENSADOS FAUNA BRAZIL LTDA,-4.912e+06, 3.82e+07,   -0.129, 0.898,-7.97e+07, 6.99e+07
Cliente_COMPSIS COMPUTADORES E SISTEMAS INDUSTRIA E COMERCIO LT,-1.008e+07, 3.62e+07,   -0.278, 0.781, -8.1e+07, 6.09e+07
"Cliente_COMTRAFO INDUSTRIA DE TRANSFORMADORES ELETRICOS S,A,",-1.454e+06, 3.82e+07,   -0.038, 0.970,-7.63e+07, 7.33e+07
"Cliente_CONDOR S,A",-3.932e+06,  3.2e+07,   -0.123, 0.902,-6.67e+07, 5.88e+07
"Cliente_CONDUSPAR CONDUTORES ELETRICOS LTDA,",-5.878e+05, 3.28e+07,   -0.018, 0.986,-6.49e+07, 6.38e+07
Cliente_CONFAB INDUSTRIAL SOCIEDADE ANONIMA,  1.39e+07, 2.98e+07,    0.466, 0.641,-4.45e+07, 7.23e+07
Cliente_CONSERVAS ODERICH SA,   1.2e+07, 2.99e+07,    0.402, 0.688,-4.65e+07, 7.05e+07
Cliente_CONTINENTAL AUTOMOTIVE DO BRASIL LTDA, 7.078e+06, 2.98e+07,    0.237, 0.812,-5.14e+07, 6.55e+07
Cliente_CONTINENTAL BRASIL INDUSTRIA AUTOMOTIVA LTDA, 2.321e+06, 2.89e+07,    0.080, 0.936,-5.44e+07,  5.9e+07
Cliente_CONVERPLAST EMBALAGENS LTDA,-2.916e+06, 3.62e+07,   -0.081, 0.936,-7.38e+07,  6.8e+07
Cliente_COOLING AND FREEZING - EQUIPAMENTOS PARA REFRIGERACAO I, 7.386e+06, 4.41e+07,    0.168, 0.867, -7.9e+07, 9.38e+07
Cliente_COOP AGRIC JUAZEIRO DA BAHIA RESP LTDA, -1.13e+07, 4.51e+07,   -0.251, 0.802,-9.97e+07, 7.71e+07
"Cliente_COOP, INDUSTRIAL DE CARNES E DERIVADOS DE GOIAS LTDA",-4.296e+06, 3.67e+07,   -0.117, 0.907,-7.61e+07, 6.76e+07
Cliente_COOPAVEL COOPERATIVA AGROINDUSTRIAL,  1.65e+06,  3.8e+07,    0.043, 0.965,-7.29e+07, 7.62e+07
Cliente_COOPERATIVA CENTRAL AURORA ALIMENTOS, 3.331e+07,  3.1e+07,    1.074, 0.283,-2.75e+07, 9.41e+07
Cliente_COOPERATIVA CENTRAL DOS PRODUTORES RURAIS DE MINAS GERA, -6.85e+06, 3.05e+07,   -0.224, 0.822,-6.67e+07,  5.3e+07
Cliente_COOPERATIVA DALIA ALIMENTOS LTDA, 6.253e+06, 4.41e+07,    0.142, 0.887,-8.02e+07, 9.27e+07
"Cliente_COOPERATIVA DE PROD, DE CANA-DE-ACUCAR, ACUCAR E ALCOOL", 5.369e+06, 3.62e+07,    0.148, 0.882,-6.56e+07, 7.63e+07
Cliente_COOPERATIVA DE PRODUTOS METALURGICOS DE MOCOCA - COPROM,-6.096e+06,  4.4e+07,   -0.138, 0.890,-9.24e+07, 8.03e+07
Cliente_COOPERATIVA DOS AGRICULTORES DA REGIAO DE ORLANDIA, 4.283e+06,  4.4e+07,    0.097, 0.923,-8.21e+07, 9.06e+07
Cliente_COOPERATIVA REGIONAL DE CAFEICULTORES EM GUAXUPE LTDA C,-1.257e+07, 3.17e+07,   -0.397, 0.692,-7.47e+07, 4.95e+07
Cliente_COOPERATIVA TRITICOLA ERECHIM - COTREL - EM LIQUIDACAO, 9.804e+06, 4.41e+07,    0.222, 0.824,-7.66e+07, 9.62e+07
Cliente_COOPERSHOES - COOPERATIVA DE TRABALHO E INDUSTRIA DE CA, 6.962e+06, 3.62e+07,    0.192, 0.847, -6.4e+07, 7.79e+07
Cliente_COPACOL-COOPERATIVA AGROINDUSTRIAL CONSOLATA,-2.498e+06, 3.39e+07,   -0.074, 0.941,-6.89e+07, 6.39e+07
Cliente_COPE & CIA LTDA,  8.24e+06, 3.16e+07,    0.261, 0.794,-5.36e+07, 7.01e+07
"Cliente_COPEBRAS INDUSTRIA LTDA,",-3.964e+06,  4.4e+07,   -0.090, 0.928,-9.03e+07, 8.24e+07
Cliente_COPERSOL IND COM E EXP DE PEDRAS SEMI PRECIOSAS LTDA, 6.637e+06,  4.5e+07,    0.147, 0.883,-8.16e+07, 9.48e+07
Cliente_CORALPLAC COMPENSADOS LTDA,-2.205e+06, 3.82e+07,   -0.058, 0.954, -7.7e+07, 7.26e+07
Cliente_CORDOARIA SAO LEOPOLDO SA, 1.663e+07, 3.32e+07,    0.501, 0.616,-4.84e+07, 8.17e+07
Cliente_COROL COOP AGROINDUSTRIAL,-3.116e+06, 3.81e+07,   -0.082, 0.935,-7.79e+07, 7.17e+07
Cliente_CORTTEX INDUSTRIA TEXTIL LTDA,-6.353e+06,  4.4e+07,   -0.144, 0.885,-9.27e+07,    8e+07
"Cliente_COTECE S,A,",  4.31e+06,  3.5e+07,    0.123, 0.902,-6.43e+07, 7.29e+07
"Cliente_COTEMINAS S,A,", 2.957e+07,    3e+07,    0.985, 0.325,-2.93e+07, 8.85e+07
Cliente_COTIA TRADING S/A,-1.057e+07, 4.41e+07,   -0.239, 0.811,-9.71e+07,  7.6e+07
Cliente_COTONIPE MOVEIS LTDA, 6.967e+06,  4.5e+07,    0.155, 0.877,-8.12e+07, 9.52e+07
Cliente_COUROS NOBRE BENEFICIAMENTO LTDA, 5.965e+06, 3.32e+07,    0.180, 0.857,-5.91e+07,  7.1e+07
Cliente_COUROTEX IND COM E EXPORTACAO DE COUROS LTDA,-1.141e+07, 3.78e+07,   -0.302, 0.763,-8.55e+07, 6.27e+07
Cliente_CREDEAL MANUFATURA DE PAPEIS LTDA, 7.544e+06, 3.32e+07,    0.227, 0.820,-5.75e+07, 7.26e+07
"Cliente_CREMER S,A,",-4.064e+06,  3.2e+07,   -0.127, 0.899,-6.68e+07, 5.87e+07
Cliente_CRISTOFOLI EQUIPAMENTOS DE BIOSSEGURANCA LTDA,-1.596e+06, 3.53e+07,   -0.045, 0.964,-7.08e+07, 6.76e+07
Cliente_CROMEX S/A, 3.469e+06, 3.32e+07,    0.105, 0.917,-6.15e+07, 6.85e+07
Cliente_CROYDONMAQ INDUSTRIAL EIRELI,-1.891e+05, 3.61e+07,   -0.005, 0.996,-7.09e+07, 7.06e+07
"Cliente_CRS BRANDS INDUSTRIA E COMERCIO S,A", 3.345e+06, 3.62e+07,    0.092, 0.926,-6.76e+07, 7.43e+07
Cliente_CSM-COMPONENTES SISTEMAS E MAQUINAS PARA CONSTRUCAO LTD,-3.678e+06,  3.2e+07,   -0.115, 0.908,-6.64e+07,  5.9e+07
Cliente_CTA CONTINENTAL TOBACCOS ALLIANCE S/A, 2.067e+07, 4.41e+07,    0.469, 0.639,-6.57e+07, 1.07e+08
Cliente_CUMMINS BRASIL LIMITADA, 1.355e+07, 2.86e+07,    0.474, 0.636,-4.25e+07, 6.96e+07
Cliente_CUMMINS FILTROS LTDA, -2.72e+05,  4.4e+07,   -0.006, 0.995,-8.66e+07, 8.61e+07
Cliente_CURTIDORA ITAUNA LTDA,-1.492e+07, 4.49e+07,   -0.333, 0.739,-1.03e+08,  7.3e+07
Cliente_CURTUME AIMORE S/A, 6.044e+06, 3.32e+07,    0.182, 0.855, -5.9e+07, 7.11e+07
Cliente_CURTUME DELLA TORRE LTDA,-5.834e+06,  4.4e+07,   -0.132, 0.895,-9.22e+07, 8.05e+07
Cliente_CURTUME KERN MATTES S/A, 6.226e+06, 3.62e+07,    0.172, 0.864,-6.48e+07, 7.72e+07
Cliente_CURTUME TOURO LTDA,-5.479e+06, 3.31e+07,   -0.165, 0.869,-7.04e+07, 5.95e+07
Cliente_CVL COMPONENTES DE VIDRO LTDA,-7.114e+06, 3.62e+07,   -0.197, 0.844, -7.8e+07, 6.38e+07
Cliente_CZM INDUSTRIA DE EQUIPAMENTOS SA,-1.468e+07, 3.26e+07,   -0.450, 0.653,-7.87e+07, 4.93e+07
"Cliente_D,M,R, COMERCIO DE SISTEMAS DE LAVAGEM LTDA EM LIQUIDAC",-7.603e+06,  4.4e+07,   -0.173, 0.863,-9.39e+07, 7.87e+07
Cliente_DAISA INDUSTRIA METALURGICA LTDA,-7.485e+06, 3.62e+07,   -0.207, 0.836,-7.84e+07, 6.34e+07
Cliente_DAL PONTE E CIA LTDA, 6.599e+06, 3.16e+07,    0.209, 0.834,-5.53e+07, 6.85e+07
Cliente_DALILA TEXTIL LTDA,-3.939e+06, 3.66e+07,   -0.108, 0.914,-7.57e+07, 6.78e+07
Cliente_DAMBROZ EMPREENDIMENTOS E ADMINISTRACAO LTDA, 5.677e+06, 2.89e+07,    0.196, 0.844, -5.1e+07, 6.24e+07
Cliente_DANA INDUSTRIAS LTDA, 2.492e+07, 2.71e+07,    0.919, 0.358,-2.82e+07, 7.81e+07
"Cliente_DASS NORDESTE CALCADOS E ARTIGOS ESPORTIVOS S,A,", 1.265e+07, 3.43e+07,    0.369, 0.712,-5.45e+07, 7.98e+07
Cliente_DASS SUL CALCADOS E ARTIGOS ESPORTIVOS LTDA,-1.933e+06, 3.36e+07,   -0.058, 0.954,-6.78e+07,  6.4e+07
Cliente_DAY BRASIL S/A,-1.224e+07, 2.68e+07,   -0.458, 0.647,-6.47e+07, 4.02e+07
Cliente_DAYTEC LTDA,-1.584e+07, 4.49e+07,   -0.353, 0.724,-1.04e+08, 7.21e+07
Cliente_DELGA INDUSTRIA E COMERCIO S/A,-7.112e+06, 3.62e+07,   -0.197, 0.844, -7.8e+07, 6.38e+07
Cliente_DEMOBILE INDUSTRIA DE MOVEIS LTDA,-8.345e+05, 4.57e+07,   -0.018, 0.985,-9.04e+07, 8.87e+07
